City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mount Isa,-20.7333,139.5,76.77,47,0,12.66,AU,2021-07-28 00:41:29
1,Yellowknife,62.456,-114.3525,62.33,48,40,3.0,CA,2021-07-28 00:38:15
2,Kapaa,22.0752,-159.319,85.98,76,90,3.0,US,2021-07-28 00:38:27
3,Mahebourg,-20.4081,57.7,67.24,100,75,14.97,MU,2021-07-28 00:41:30
4,Rikitea,-23.1203,-134.9692,74.12,78,100,14.72,PF,2021-07-28 00:41:30
5,Cape Town,-33.9258,18.4232,52.12,90,20,1.01,ZA,2021-07-28 00:41:30
6,Horqueta,-23.3428,-57.0597,53.58,29,66,8.43,PY,2021-07-28 00:41:31
7,Punta Arenas,-53.15,-70.9167,42.91,87,75,17.27,CL,2021-07-28 00:41:31
8,Pandan,14.0453,124.1694,86.5,69,100,16.73,PH,2021-07-28 00:40:51
9,Quatre Cocos,-20.2078,57.7625,67.08,91,100,13.96,MU,2021-07-28 00:41:31
10,Dingle,10.9995,122.6711,85.03,73,75,16.11,PH,2021-07-28 00:41:32
11,Vagamo,61.8751,9.0967,61.2,98,100,4.7,NO,2021-07-28 00:41:32
12,Bambanglipuro,-7.95,110.2833,78.21,76,78,6.44,ID,2021-07-28 00:41:32
13,Barrow,71.2906,-156.7887,42.82,84,90,19.57,US,2021-07-28 00:41:33
14,Kiama,-34.6833,150.8667,69.28,39,32,8.01,AU,2021-07-28 00:41:33
15,Bluff,-46.6,168.3333,51.8,70,44,11.18,NZ,2021-07-28 00:41:34
16,Busselton,-33.65,115.3333,51.04,75,58,16.49,AU,2021-07-28 00:41:34
17,Hamilton,39.1834,-84.5333,85.23,68,1,3.44,US,2021-07-28 00:38:50
18,Listowel,52.4464,-9.485,56.91,90,46,9.28,IE,2021-07-28 00:41:35
19,Golyshmanovo,56.3979,68.3728,55.36,86,70,3.2,RU,2021-07-28 00:41:35
20,Charters Towers,-20.1,146.2667,73.69,50,4,8.68,AU,2021-07-28 00:41:35
21,Tiznit,29.5833,-9.5,69.69,71,0,2.06,MA,2021-07-28 00:41:36
22,Saldanha,-33.0117,17.9442,53.65,70,100,7.63,ZA,2021-07-28 00:41:36
23,Tabas,33.5959,56.9244,81.5,19,1,7.25,IR,2021-07-28 00:41:37
24,Venancio Aires,-29.6064,-52.1919,45.82,61,0,6.31,BR,2021-07-28 00:41:37
25,Thompson,55.7435,-97.8558,73.56,49,75,9.22,CA,2021-07-28 00:41:37
26,Sakakah,29.9697,40.2064,90.97,23,0,8.37,SA,2021-07-28 00:41:38
27,Hobart,-42.8794,147.3294,57.25,70,75,5.99,AU,2021-07-28 00:37:51
28,Puerto Ayora,-0.7393,-90.3518,71.69,82,23,9.26,EC,2021-07-28 00:41:39
29,Ushuaia,-54.8,-68.3,37.06,93,90,1.14,AR,2021-07-28 00:37:48
30,Kalabo,-14.97,22.6814,48.04,62,4,6.31,ZM,2021-07-28 00:41:40
31,Krasnorechenskiy,44.6265,135.3532,84.16,45,91,3.24,RU,2021-07-28 00:41:41
32,Berlevag,70.8578,29.0864,46.18,89,100,5.95,NO,2021-07-28 00:41:41
33,Bulgan,48.8125,103.5347,61.99,78,80,2.93,MN,2021-07-28 00:41:42
34,Aksarayskiy,46.7924,48.0119,67.98,50,100,7.78,RU,2021-07-28 00:41:42
35,Lago Da Pedra,-4.3333,-45.1667,77.2,56,21,2.48,BR,2021-07-28 00:41:43
36,Bredasdorp,-34.5322,20.0403,54.72,71,100,8.05,ZA,2021-07-28 00:41:43
37,New Norfolk,-42.7826,147.0587,56.91,69,94,4.0,AU,2021-07-28 00:41:44
38,Zemetchino,53.4973,42.6163,62.55,64,12,2.48,RU,2021-07-28 00:41:44
39,Cherskiy,68.75,161.3,39.25,73,100,19.48,RU,2021-07-28 00:41:44
40,Jamestown,42.097,-79.2353,76.32,78,1,5.75,US,2021-07-28 00:41:45
41,Jalu,29.0331,21.5482,80.96,38,0,6.98,LY,2021-07-28 00:37:17
42,Ryotsu,38.0833,138.4333,78.76,69,17,1.83,JP,2021-07-28 00:41:45
43,Chuy,-33.6971,-53.4616,42.37,71,7,16.08,UY,2021-07-28 00:41:46
44,Vila Velha,-20.3297,-40.2925,71.55,88,0,8.05,BR,2021-07-28 00:41:15
45,East London,-33.0153,27.9116,68.79,47,1,13.6,ZA,2021-07-28 00:41:46
46,Castro,-24.7911,-50.0119,48.13,92,100,6.53,BR,2021-07-28 00:41:47
47,Dikson,73.5069,80.5464,37.74,99,100,12.64,RU,2021-07-28 00:41:47
48,Vaini,-21.2,-175.2,69.96,88,75,6.91,TO,2021-07-28 00:41:48
49,Hithadhoo,-0.6,73.0833,80.55,78,100,8.7,MV,2021-07-28 00:41:48
50,Mataura,-46.1927,168.8643,51.48,74,69,0.63,NZ,2021-07-28 00:41:48
51,Arraial Do Cabo,-22.9661,-42.0278,70.95,81,0,24.07,BR,2021-07-28 00:41:49
52,Ponta Do Sol,32.6667,-17.1,73.0,71,5,5.28,PT,2021-07-28 00:41:49
53,Madang,-5.2246,145.7966,83.55,72,67,1.32,PG,2021-07-28 00:41:49
54,Beoumi,7.6736,-5.5764,74.98,87,100,7.16,CI,2021-07-28 00:41:50
55,Kijang,35.2442,129.2139,83.93,76,25,10.98,KR,2021-07-28 00:41:50
56,Chokurdakh,70.6333,147.9167,47.91,51,95,12.17,RU,2021-07-28 00:41:51
57,Bengkulu,-3.8004,102.2655,77.07,70,42,4.16,ID,2021-07-28 00:40:46
58,Cidreira,-30.1811,-50.2056,48.04,53,4,18.61,BR,2021-07-28 00:41:51
59,Faanui,-16.4833,-151.75,77.68,75,30,9.19,PF,2021-07-28 00:41:51
60,Port Elizabeth,-33.918,25.5701,57.49,88,0,16.11,ZA,2021-07-28 00:38:36
61,Khatanga,71.9667,102.5,82.36,45,9,17.98,RU,2021-07-28 00:41:52
62,Otradnoye,59.7775,30.8181,65.17,67,100,4.68,RU,2021-07-28 00:41:52
63,Carnarvon,-24.8667,113.6333,60.87,55,90,9.22,AU,2021-07-28 00:41:53
64,Turukhansk,65.8167,87.9833,52.61,93,100,6.06,RU,2021-07-28 00:41:53
65,Hermanus,-34.4187,19.2345,53.8,69,97,14.47,ZA,2021-07-28 00:41:54
66,San Vicente De Canete,-13.0751,-76.3835,63.55,85,53,5.03,PE,2021-07-28 00:41:54
67,Iqaluit,63.7506,-68.5145,51.53,57,40,18.01,CA,2021-07-28 00:41:54
68,Chapais,49.7834,-74.8492,56.98,66,58,3.56,CA,2021-07-28 00:41:55
69,Harur,12.0667,78.5,74.98,80,100,3.53,IN,2021-07-28 00:41:55
70,Rocha,-34.4833,-54.3333,45.07,82,98,17.76,UY,2021-07-28 00:41:55
71,Gat,31.61,34.7642,81.28,100,0,0.67,IL,2021-07-28 00:41:56
72,Constitucion,-35.3333,-72.4167,45.63,75,0,7.14,CL,2021-07-28 00:41:56
73,Barma,8.35,-11.3333,71.87,99,100,2.28,SL,2021-07-28 00:41:56
74,Huilong,31.8111,121.655,81.03,95,100,22.21,CN,2021-07-28 00:41:57
75,Mount Gambier,-37.8333,140.7667,48.11,87,75,10.36,AU,2021-07-28 00:41:57
76,Bethel,41.3712,-73.414,79.56,79,90,0.0,US,2021-07-28 00:41:58
77,Oneonta,42.4529,-75.0638,67.3,87,100,1.43,US,2021-07-28 00:41:58
78,Butaritari,3.0707,172.7902,81.72,72,100,4.03,KI,2021-07-28 00:41:58
79,Saint George,37.1041,-113.5841,97.39,25,1,7.0,US,2021-07-28 00:41:59
80,Upernavik,72.7868,-56.1549,51.55,69,100,11.9,GL,2021-07-28 00:41:59
81,Eureka,40.8021,-124.1637,59.58,87,100,1.99,US,2021-07-28 00:41:02
82,Mattru,7.6244,-11.8332,73.15,96,100,2.91,SL,2021-07-28 00:42:00
83,Tecoanapa,16.5167,-98.75,82.38,71,88,4.0,MX,2021-07-28 00:42:00
84,Nikolskoye,59.7035,30.7861,65.01,67,100,4.65,RU,2021-07-28 00:42:00
85,Port Alfred,-33.5906,26.891,61.54,86,24,14.5,ZA,2021-07-28 00:42:01
86,Poum,-20.2333,164.0167,72.46,60,8,15.3,NC,2021-07-28 00:37:44
87,Shimoda,34.6667,138.95,82.76,76,100,12.66,JP,2021-07-28 00:42:01
88,Tuktoyaktuk,69.4541,-133.0374,53.6,71,75,6.91,CA,2021-07-28 00:42:02
89,Tiksi,71.6872,128.8694,40.96,82,27,14.09,RU,2021-07-28 00:42:02
90,San Quintin,30.4833,-115.95,73.08,75,1,12.71,MX,2021-07-28 00:42:02
91,Arak,34.0917,49.6892,74.53,26,0,6.26,IR,2021-07-28 00:42:03
92,Amasya,40.6667,35.8333,65.88,91,0,3.56,TR,2021-07-28 00:42:04
93,Wajid,3.8093,43.2471,72.55,70,100,19.15,SO,2021-07-28 00:42:04
94,Sassandra,4.95,-6.0833,74.64,85,58,6.38,CI,2021-07-28 00:42:04
95,Avarua,-21.2078,-159.775,77.05,65,49,4.61,CK,2021-07-28 00:39:39
96,Albany,42.6001,-73.9662,68.81,91,100,1.52,US,2021-07-28 00:42:05
97,Macapa,0.0389,-51.0664,80.58,89,75,4.61,BR,2021-07-28 00:42:05
98,Pavlodar,52.3,76.95,53.4,82,0,2.24,KZ,2021-07-28 00:42:06
99,Kuala Lumpur,3.1431,101.6865,78.35,81,20,1.14,MY,2021-07-28 00:41:39
100,Saint-Augustin,51.226,-58.6502,60.39,99,100,6.91,CA,2021-07-28 00:42:06
101,Rawson,-43.3002,-65.1023,41.86,68,35,14.56,AR,2021-07-28 00:37:27
102,Palmas,-10.2128,-48.3603,75.07,57,0,6.91,BR,2021-07-28 00:42:07
103,Inhambane,-23.865,35.3833,64.54,63,0,5.95,MZ,2021-07-28 00:42:07
104,Broome,42.2506,-75.833,68.77,96,90,1.01,US,2021-07-28 00:42:08
105,Mar Del Plata,-38.0023,-57.5575,47.08,67,75,13.0,AR,2021-07-28 00:39:59
106,Lakhnadon,22.6,79.6,71.82,91,100,9.69,IN,2021-07-28 00:42:08
107,Cabo San Lucas,22.8909,-109.9124,95.61,58,1,13.8,MX,2021-07-28 00:42:09
108,Bremerton,47.5673,-122.6326,88.95,48,1,3.0,US,2021-07-28 00:38:02
109,Haines Junction,60.7522,-137.5108,66.15,55,43,5.75,CA,2021-07-28 00:42:09
110,Okhotsk,59.3833,143.3,62.58,81,94,11.92,RU,2021-07-28 00:42:10
111,Kindu,-2.95,25.95,76.01,43,97,1.25,CD,2021-07-28 00:42:10
112,Kavieng,-2.5744,150.7967,84.69,72,11,8.86,PG,2021-07-28 00:42:10
113,Kaitangata,-46.2817,169.8464,52.93,54,100,2.37,NZ,2021-07-28 00:42:11
114,Luderitz,-26.6481,15.1594,54.79,74,0,8.84,NA,2021-07-28 00:42:11
115,Kloulklubed,7.0419,134.2556,79.3,79,63,10.96,PW,2021-07-28 00:42:12
116,Portobelo,9.55,-79.65,79.86,84,57,4.81,PA,2021-07-28 00:42:12
117,Kodiak,57.79,-152.4072,63.91,55,40,5.75,US,2021-07-28 00:42:13
118,Wanganui,-39.9333,175.05,57.74,72,32,20.0,NZ,2021-07-28 00:37:46
119,The Valley,18.217,-63.0578,82.26,75,4,19.22,AI,2021-07-28 00:42:13
120,Camopi,3.1655,-52.3158,71.69,98,0,2.84,GF,2021-07-28 00:42:13
121,Carutapera,-1.195,-46.02,76.75,85,84,6.35,BR,2021-07-28 00:42:14
122,Nelson Bay,-32.7167,152.15,74.75,49,99,1.99,AU,2021-07-28 00:42:14
123,Luanda,-8.8368,13.2343,71.6,88,75,4.61,AO,2021-07-28 00:42:15
124,Miri,4.4148,114.0089,82.54,89,20,5.75,MY,2021-07-28 00:42:15
125,Richards Bay,-28.783,32.0377,61.61,69,1,15.41,ZA,2021-07-28 00:42:15
126,Atuona,-9.8,-139.0333,78.26,65,0,16.58,PF,2021-07-28 00:42:16
127,Itarema,-2.9248,-39.9167,77.94,82,13,14.88,BR,2021-07-28 00:42:16
128,Marystown,47.1666,-55.1483,61.57,99,100,11.59,CA,2021-07-28 00:41:03
129,Lavrentiya,65.5833,-171.0,44.13,99,100,10.42,RU,2021-07-28 00:42:17
130,Blackwater,-23.5833,148.8833,70.72,53,0,11.21,AU,2021-07-28 00:42:17
131,Catuday,16.2923,119.8062,81.41,84,100,20.07,PH,2021-07-28 00:42:17
132,Hami,42.8,93.45,90.25,15,19,10.87,CN,2021-07-28 00:42:18
133,Souillac,-20.5167,57.5167,67.35,100,75,14.97,MU,2021-07-28 00:42:18
134,Saskylakh,71.9167,114.0833,62.98,47,26,19.98,RU,2021-07-28 00:42:18
135,Hilo,19.7297,-155.09,82.13,80,90,8.05,US,2021-07-28 00:42:19
136,Victoria,22.2855,114.1577,91.96,86,98,1.01,HK,2021-07-28 00:42:18
137,Gao,16.6362,1.637,86.49,53,78,8.23,ML,2021-07-28 00:42:19
138,Cayenne,4.9333,-52.3333,82.09,82,0,5.01,GF,2021-07-28 00:37:47
139,Lasa,46.6166,10.7002,63.86,94,81,3.38,IT,2021-07-28 00:42:20
140,San Buenaventura,27.0833,-101.5333,93.9,17,0,18.9,MX,2021-07-28 00:42:20
141,Zhuzhou,27.8333,113.15,86.13,68,12,7.99,CN,2021-07-28 00:37:24
142,Geraldton,-28.7667,114.6,59.13,88,90,10.36,AU,2021-07-28 00:42:21
143,Provideniya,64.3833,-173.3,50.11,87,90,15.66,RU,2021-07-28 00:42:21
144,Progreso,21.2833,-89.6667,82.51,80,21,9.4,MX,2021-07-28 00:42:21
145,Edd,13.9297,41.6925,89.94,63,36,2.21,ER,2021-07-28 00:42:22
146,Namibe,-15.1961,12.1522,64.47,86,0,2.21,AO,2021-07-28 00:42:22
147,Norman Wells,65.282,-126.8329,71.64,43,75,8.05,CA,2021-07-28 00:42:20
148,Clyde River,70.4692,-68.5914,50.23,71,90,8.05,CA,2021-07-28 00:42:23
149,Tual,-5.6667,132.75,80.76,82,100,16.17,ID,2021-07-28 00:42:23
150,Xingyi,24.1877,102.817,67.46,86,77,2.08,CN,2021-07-28 00:42:24
151,Ilulissat,69.2167,-51.1,55.42,67,100,3.44,GL,2021-07-28 00:42:24
152,Qaanaaq,77.484,-69.3632,42.12,96,99,6.24,GL,2021-07-28 00:42:24
153,Los Llanos De Aridane,28.6585,-17.9182,69.55,82,90,14.97,ES,2021-07-28 00:42:25
154,Tura,25.5198,90.2201,77.13,94,92,3.22,IN,2021-07-28 00:42:25
155,Severo-Kurilsk,50.6789,156.125,57.85,93,100,6.58,RU,2021-07-28 00:42:25
156,Pevek,69.7008,170.3133,36.34,90,97,8.12,RU,2021-07-28 00:42:26
157,Bilibino,68.0546,166.4372,43.09,78,100,3.31,RU,2021-07-28 00:42:26
158,Pudozh,61.8099,36.5345,51.42,68,10,3.87,RU,2021-07-28 00:42:27
159,Lagoa,39.05,-27.9833,70.39,89,100,8.28,PT,2021-07-28 00:42:27
160,Salinopolis,-0.6136,-47.3561,78.82,81,83,9.75,BR,2021-07-28 00:42:27
161,Nanortalik,60.1432,-45.2371,45.23,81,100,6.33,GL,2021-07-28 00:42:28
162,San Patricio,28.017,-97.5169,92.08,60,53,10.78,US,2021-07-28 00:42:28
163,Sao Joao Da Barra,-21.6403,-41.0511,70.83,85,0,15.93,BR,2021-07-28 00:42:28
164,Ketchikan,55.3422,-131.6461,64.87,68,75,8.05,US,2021-07-28 00:42:29
165,Guia De Isora,28.2115,-16.7795,68.16,80,14,6.26,ES,2021-07-28 00:42:29
166,Sidney,-33.8679,151.2073,72.32,40,0,20.0,AU,2021-07-28 00:41:44
167,Grand Forks,47.9417,-97.4337,87.53,24,75,6.91,US,2021-07-28 00:37:36
168,Codrington,-38.2667,141.9667,49.68,84,100,22.1,AU,2021-07-28 00:42:30
169,Nouadhibou,20.931,-17.0347,69.78,83,38,20.71,MR,2021-07-28 00:42:30
170,Qianan,44.9932,124.0581,79.65,68,100,5.61,CN,2021-07-28 00:42:30
171,Te Anau,-45.4167,167.7167,50.94,75,100,3.13,NZ,2021-07-28 00:42:31
172,Ust-Koksa,50.2696,85.6108,55.18,93,100,2.77,RU,2021-07-28 00:42:31
173,Milton,34.1322,-84.3007,80.22,92,81,4.7,US,2021-07-28 00:37:39
174,Baruun-Urt,46.6806,113.2792,74.73,45,30,7.63,MN,2021-07-28 00:42:32
175,Padang,-0.9492,100.3543,75.25,85,89,1.61,ID,2021-07-28 00:42:32
176,Riihimaki,60.7377,24.7773,68.04,61,100,5.28,FI,2021-07-28 00:42:32
177,Ukiah,39.1502,-123.2078,97.12,26,1,6.91,US,2021-07-28 00:42:33
178,Ribeira Grande,38.5167,-28.7,72.12,84,37,10.02,PT,2021-07-28 00:42:33
179,Diffa,13.3154,12.6113,75.36,84,100,12.12,NE,2021-07-28 00:42:34
180,Kanbe,16.7053,96.0017,77.05,85,100,7.38,MM,2021-07-28 00:42:34
181,Show Low,34.2542,-110.0298,68.72,75,1,0.0,US,2021-07-28 00:41:21
182,Shenjiamen,29.9576,122.298,78.62,93,100,14.2,CN,2021-07-28 00:42:34
183,Brae,60.3964,-1.353,55.31,95,99,5.84,GB,2021-07-28 00:38:42
184,Sitka,57.0531,-135.33,60.69,77,75,0.0,US,2021-07-28 00:39:51
185,Alofi,-19.0595,-169.9187,80.49,69,75,5.75,NU,2021-07-28 00:42:35
186,Oussouye,12.485,-16.5469,82.58,79,100,7.14,SN,2021-07-28 00:42:35
187,Burnie,-41.0667,145.9167,55.92,83,91,20.02,AU,2021-07-28 00:42:36
188,Mwene-Ditu,-7.0,23.45,60.69,37,37,4.54,CD,2021-07-28 00:42:36
189,Kutum,14.2,24.6667,69.55,75,100,2.71,SD,2021-07-28 00:42:36
190,Batagay-Alyta,67.8006,130.4114,51.22,53,31,15.37,RU,2021-07-28 00:42:37
191,Ngunguru,-35.6167,174.5,66.16,66,68,10.6,NZ,2021-07-28 00:42:37
192,Meulaboh,4.1363,96.1285,77.54,88,77,3.33,ID,2021-07-28 00:42:38
193,Naze,28.3667,129.4833,81.52,86,52,12.35,JP,2021-07-28 00:42:38
194,Martapura,-3.4167,114.85,78.89,89,11,4.61,ID,2021-07-28 00:42:38
195,Lata,40.1629,-8.3327,61.92,98,21,1.5,PT,2021-07-28 00:42:39
196,Vrangel,42.7297,133.0839,77.63,81,22,6.67,RU,2021-07-28 00:42:39
197,Russell,32.3502,-85.1999,79.52,94,1,6.91,US,2021-07-28 00:42:39
198,Georgetown,5.4112,100.3354,83.89,85,20,1.01,MY,2021-07-28 00:40:56
199,Wamba,8.9333,8.6,69.39,89,97,3.0,NG,2021-07-28 00:39:46
200,Barra Do Garcas,-15.89,-52.2567,75.94,37,93,2.26,BR,2021-07-28 00:42:41
201,Viseu,40.661,-7.9097,58.69,91,0,1.97,PT,2021-07-28 00:42:41
202,Douentza,14.9951,-2.9517,84.31,62,100,5.57,ML,2021-07-28 00:42:42
203,Joigny,47.9829,3.401,63.81,91,100,9.98,FR,2021-07-28 00:42:43
204,Khanpur,28.6453,70.6567,85.77,66,100,16.02,PK,2021-07-28 00:42:43
205,Alta Floresta,-9.8756,-56.0861,75.34,40,3,3.4,BR,2021-07-28 00:42:44
206,Itoman,26.1247,127.6694,86.4,79,75,12.66,JP,2021-07-28 00:42:44
207,Vila Franca Do Campo,37.7167,-25.4333,68.41,87,9,7.87,PT,2021-07-28 00:42:45
208,Viedma,-40.8135,-62.9967,44.56,66,92,19.55,AR,2021-07-28 00:42:45
209,Adrar,20.5022,-10.0711,87.49,30,100,12.71,MR,2021-07-28 00:42:45
210,Horn Lake,34.9554,-90.0348,89.58,69,75,8.05,US,2021-07-28 00:40:31
211,Hovd,48.0056,91.6419,69.93,40,0,1.72,MN,2021-07-28 00:42:46
212,Ambulu,-8.345,113.6058,77.18,73,5,2.28,ID,2021-07-28 00:42:46
213,Uyuni,-20.4597,-66.825,36.79,37,0,22.64,BO,2021-07-28 00:42:46
214,Lyubech,51.7026,30.6569,64.6,97,100,6.49,UA,2021-07-28 00:42:47
215,Masallatah,32.6167,14.0,72.09,80,0,8.08,LY,2021-07-28 00:42:47
216,Jiuquan,39.7432,98.5174,80.8,20,92,0.89,CN,2021-07-28 00:42:47
217,Pisco,-13.7,-76.2167,63.01,82,0,19.57,PE,2021-07-28 00:42:48
218,Grand Gaube,-20.0064,57.6608,67.37,90,100,5.99,MU,2021-07-28 00:42:48
219,Esperance,-33.8667,121.9,48.04,69,2,15.68,AU,2021-07-28 00:42:48
220,Khorixas,-20.3667,14.9667,58.33,30,0,7.87,NA,2021-07-28 00:42:49
221,Beringovskiy,63.05,179.3167,49.15,89,100,11.52,RU,2021-07-28 00:42:49
222,Ocote Paulino,15.4167,-87.6,82.6,96,100,3.2,HN,2021-07-28 00:42:49
223,Kibre Mengist,5.8833,38.9833,58.33,80,100,2.35,ET,2021-07-28 00:42:50
224,Mackay,-21.15,149.2,74.68,73,75,5.75,AU,2021-07-28 00:42:50
225,Owosso,42.9978,-84.1766,79.43,57,1,3.44,US,2021-07-28 00:42:50
226,High Rock,26.6208,-78.2833,84.22,71,0,8.12,BS,2021-07-28 00:42:51
227,Xixiang,35.1628,112.865,80.89,79,95,0.49,CN,2021-07-28 00:42:51
228,Itabera,-23.8619,-49.1372,58.15,94,100,7.25,BR,2021-07-28 00:42:51
229,Wangqing,43.3218,129.7634,89.83,48,1,2.1,CN,2021-07-28 00:42:52
230,Waingapu,-9.6567,120.2641,83.1,60,41,13.91,ID,2021-07-28 00:42:52
231,Pa Sang,18.5262,98.9394,81.01,57,100,1.05,TH,2021-07-28 00:42:52
232,Mpika,-11.8343,31.4529,43.79,70,58,4.76,ZM,2021-07-28 00:42:53
233,Saint-Philippe,-21.3585,55.7679,69.39,89,99,13.56,RE,2021-07-28 00:42:53
234,Guerrero Negro,27.9769,-114.0611,74.66,67,0,17.36,MX,2021-07-28 00:42:53
235,Ulladulla,-35.35,150.4667,68.9,39,6,9.1,AU,2021-07-28 00:42:54
236,Boyabat,41.4689,34.7667,62.98,84,0,5.75,TR,2021-07-28 00:42:54
237,Port Keats,-14.25,129.55,85.17,46,10,0.36,AU,2021-07-28 00:42:54
238,Tasiilaq,65.6145,-37.6368,37.56,80,23,7.87,GL,2021-07-28 00:42:55
239,Socorro,31.6546,-106.3033,96.91,21,40,4.61,US,2021-07-28 00:42:55
240,Sovetskiy,61.3614,63.5842,45.34,79,99,5.73,RU,2021-07-28 00:42:56
241,Longyearbyen,78.2186,15.6401,42.64,93,75,11.5,SJ,2021-07-28 00:42:56
242,Boguchany,58.3814,97.4531,66.38,84,100,7.38,RU,2021-07-28 00:42:56
243,Pangnirtung,66.1451,-65.7125,49.87,72,100,2.77,CA,2021-07-28 00:41:56
244,Yulara,-25.2406,130.9889,64.24,48,90,4.61,AU,2021-07-28 00:42:57
245,Kruisfontein,-34.0033,24.7314,51.89,82,55,15.26,ZA,2021-07-28 00:42:57
246,Tonj,7.2737,28.6822,68.47,96,94,3.65,SS,2021-07-28 00:42:57
247,Dimbokro,6.6451,-4.7048,70.12,97,68,4.23,CI,2021-07-28 00:42:58
248,Ampanihy,-24.7,44.75,60.66,77,0,12.88,MG,2021-07-28 00:42:58
249,Portland,45.5234,-122.6762,90.37,42,20,1.99,US,2021-07-28 00:42:47
250,Ishigaki,24.3448,124.1572,86.13,84,75,4.61,JP,2021-07-28 00:42:58
251,Sarande,39.8756,20.0053,73.13,49,0,2.08,AL,2021-07-28 00:42:59
252,Erzincan,39.75,39.5,65.5,55,0,19.57,TR,2021-07-28 00:42:59
253,Yate,51.5407,-2.4184,62.13,92,39,5.97,GB,2021-07-28 00:42:59
254,Ontario,34.0633,-117.6509,100.87,36,20,8.01,US,2021-07-28 00:39:53
255,Gavrilov-Yam,57.3018,39.8533,53.44,90,13,2.93,RU,2021-07-28 00:43:00
256,Bambous Virieux,-20.3428,57.7575,67.21,100,75,14.97,MU,2021-07-28 00:43:00
257,Santa Maria Da Vitoria,-13.3947,-44.1886,70.86,43,4,2.01,BR,2021-07-28 00:41:42
258,Sisimiut,66.9395,-53.6735,51.69,67,99,7.14,GL,2021-07-28 00:43:01
259,Sao Filipe,14.8961,-24.4956,74.23,80,14,7.34,CV,2021-07-28 00:43:01
260,Mbanza-Ngungu,-5.25,14.8667,65.84,80,9,6.82,CD,2021-07-28 00:43:02
261,Thiruvananthapuram,8.4833,76.9167,78.78,94,40,0.0,IN,2021-07-28 00:42:18
262,Ancud,-41.8697,-73.8203,42.33,84,68,3.24,CL,2021-07-28 00:42:45
263,Abaetetuba,-1.7181,-48.8825,78.84,89,15,6.24,BR,2021-07-28 00:43:02
264,Lock Haven,41.137,-77.4469,80.2,68,67,4.99,US,2021-07-28 00:40:57
265,Merrill,45.1805,-89.6835,80.02,81,1,0.0,US,2021-07-28 00:43:03
266,Saint-Joseph,-21.3667,55.6167,68.38,87,64,14.67,RE,2021-07-28 00:43:03
267,Omsukchan,62.5333,155.8,45.46,67,100,9.62,RU,2021-07-28 00:43:03
268,Creston,41.0586,-94.3614,87.24,89,1,6.91,US,2021-07-28 00:43:04
269,Lobito,-12.3481,13.5456,69.85,85,7,0.45,AO,2021-07-28 00:43:04
270,Pochutla,15.7432,-96.4661,81.82,86,97,0.56,MX,2021-07-28 00:43:04
271,Zhengjiatun,43.5064,123.5064,83.32,58,100,4.68,CN,2021-07-28 00:43:05
272,Narsaq,60.9167,-46.05,46.62,73,99,2.86,GL,2021-07-28 00:43:05
273,San Luis,-33.295,-66.3356,38.41,41,1,8.1,AR,2021-07-28 00:41:34
274,Zabaykalsk,49.6333,117.3167,69.82,67,42,8.41,RU,2021-07-28 00:43:05
275,Lakhimpur,27.95,80.7667,78.84,92,100,4.54,IN,2021-07-28 00:43:06
276,Rabo De Peixe,37.8,-25.5833,67.51,77,20,11.5,PT,2021-07-28 00:42:09
277,Fortuna,40.5982,-124.1573,59.32,93,1,5.75,US,2021-07-28 00:43:06
278,Beaupre,47.0443,-70.8953,68.81,84,82,1.01,CA,2021-07-28 00:43:06
279,Lashio,22.9333,97.75,70.05,96,95,0.4,MM,2021-07-28 00:43:07
